"","V1"
"inaug_AbrahamLincoln_1_2",4
"inaug_AbrahamLincoln_1_3",9
"inaug_AbrahamLincoln_1_4",4
"inaug_AbrahamLincoln_1_5",14
"inaug_AbrahamLincoln_1_6",1
"inaug_AbrahamLincoln_1_7",1
"inaug_AbrahamLincoln_1_8",1
"inaug_AbrahamLincoln_1_9",4
"inaug_AbrahamLincoln_1_10",4
"inaug_AbrahamLincoln_1_11",4
"inaug_AbrahamLincoln_1_12",1
"inaug_AbrahamLincoln_1_13",1
"inaug_AbrahamLincoln_1_14",1
"inaug_AbrahamLincoln_1_15",1
"inaug_AbrahamLincoln_1_16",1
"inaug_AbrahamLincoln_1_17",1
"inaug_AbrahamLincoln_1_18",1
"inaug_AbrahamLincoln_1_19",1
"inaug_AbrahamLincoln_1_20",1
"inaug_AbrahamLincoln_1_21",1
"inaug_AbrahamLincoln_1_22",1
"inaug_AbrahamLincoln_1_23",1
"inaug_AbrahamLincoln_1_24",1
"inaug_AbrahamLincoln_1_25",4
"inaug_AbrahamLincoln_1_26",4
"inaug_AbrahamLincoln_1_27",4
"inaug_AbrahamLincoln_1_28",4
"inaug_AbrahamLincoln_1_29",6
"inaug_AbrahamLincoln_1_30",6
"inaug_AbrahamLincoln_1_31",4
"inaug_AbrahamLincoln_1_32",4
"inaug_AbrahamLincoln_1_33",4
"inaug_AbrahamLincoln_1_34",4
"inaug_AbrahamLincoln_1_35",4
"inaug_AbrahamLincoln_1_36",4
"inaug_AbrahamLincoln_1_37",4
"inaug_AbrahamLincoln_1_38",4
"inaug_AbrahamLincoln_1_39",4
"inaug_AbrahamLincoln_1_40",4
"inaug_AbrahamLincoln_1_41",4
"inaug_AbrahamLincoln_1_42",4
"inaug_AbrahamLincoln_1_43",4
"inaug_AbrahamLincoln_1_44",4
"inaug_AbrahamLincoln_1_45",4
"inaug_AbrahamLincoln_1_46",4
"inaug_AbrahamLincoln_1_47",4
"inaug_AbrahamLincoln_1_48",4
"inaug_AbrahamLincoln_1_49",4
"inaug_AbrahamLincoln_1_50",4
"inaug_AbrahamLincoln_1_51",4
"inaug_AbrahamLincoln_1_52",10
"inaug_AbrahamLincoln_1_53",4
"inaug_AbrahamLincoln_1_54",4
"inaug_AbrahamLincoln_1_55",4
"inaug_AbrahamLincoln_1_56",4
"inaug_AbrahamLincoln_1_57",1
"inaug_AbrahamLincoln_1_58",1
"inaug_AbrahamLincoln_1_59",1
"inaug_AbrahamLincoln_1_60",1
"inaug_AbrahamLincoln_1_61",1
"inaug_AbrahamLincoln_1_62",1
"inaug_AbrahamLincoln_1_63",1
"inaug_AbrahamLincoln_1_64",1
"inaug_AbrahamLincoln_1_65",1
"inaug_AbrahamLincoln_1_66",1
"inaug_AbrahamLincoln_1_67",1
"inaug_AbrahamLincoln_1_68",10
"inaug_AbrahamLincoln_1_69",1
"inaug_AbrahamLincoln_1_70",1
"inaug_AbrahamLincoln_1_71",1
"inaug_AbrahamLincoln_1_72",1
