"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15"
"1","one","hope","world","law","must","great","nation","men","nation","can","upon","will","year","public","govern"
"2","shall","day","peac","state","american","need","good","mean","use","peopl","purpos","new","today","respons","busi"
"3","may","man","freedom","constitut","america","life","time","work","secur","power","justic","let","presid","race","upon"
"4","right","god","free","union","call","everi","believ","live","countri","govern","made","old","first","progress","import"
"5","take","word","strength","protect","generat","thing","peopl","equal","now","make","possibl","togeth","histori","hand","congress"
"6","never","see","human","citizen","chang","face","faith","children","war","help","parti","work","new","danger","trade"
"7","question","earth","nation","govern","done","mani","common","land","among","better","control","side","now","offic","pass"
"8","mere","whether","effort","enforc","ideal","long","differ","industri","everi","beyond","order","make","man","polit","secur"
"9","demand","say","toward","right","liberti","fear","best","product","forc","hand","effect","seek","centuri","give","proper"
"10","now","heart","prosper","feder","courag","problem","action","individu","interest","reach","practic","meet","begin","continu","may"
"11","other","find","econom","duti","promis","spirit","civil","home","foreign","hold","instrument","back","fellow","desir","commerc"
"12","case","far","unit","shall","act","task","alway","women","maintain","knowledg","form","forward","oath","negro","legisl"
"13","anoth","dream","know","author","today","come","concern","keep","present","opportun","chang","challeng","citizen","well","tariff"
"14","much","light","strong","within","idea","look","ask","well","honor","group","administr","friend","nation","like","larg"
"15","cours","know","democraci","unit","faith","time","without","put","respect","alon","relat","bring","stand","support","increas"
"16","seek","voic","advanc","amend","enemi","endur","uniti","thought","provid","scienc","special","rather","time","feel","labor"
"17","person","speak","ever","servic","end","love","determin","restor","defens","afford","greater","share","still","communiti","depart"
"18","fact","part","strengthen","execut","though","hope","join","cost","without","final","whole","way","moment","just","certain"
"19","exist","bless","caus","subject","young","know","futur","energi","arm","safe","principl","job","just","south","propos"
"20","might","understand","weak","express","less","yet","leadership","resourc","pay","aspir","polit","balanc","thank","encourag","direct"
